Cultivo,Problema común,Síntomas,Consecuencias,Causa principal,"Manejo posible con fertilización, bioestimulación y enmiendas"
Banano,Sigatoka Negra (Mycosphaerella fijiensis),Pequeña mancha o peca rojiza en el envés de la 3ra o 4ta hoja. Rayas y manchas oscuras. Centro blanco grisáceo con bordes negros (Estadio 6).,"Afecta el área foliar fotosintética, ocasionando problemas de peso de racimos. Maduración prematura de la fruta, afectando la comercialización.",Hongo Mycosphaerella fijiensis. Es más agresiva y destructiva que la Sigatoka Amarilla.,"Microbiológicos: Aplicar BACIFORM SC (fungicida-fertilizante biológico con acción protectora y curativa, induce resistencia sistémica). Bioestimulación: Aplicar Zitor (estimula defensas propias contra hongos y bacterias) o SUMAKCROP Elicitor (induce resistencia ante hongos)."
Banano,Sigatoka Amarilla (M. musicola),Pequeña mancha verde amarillenta que aparece generalmente en la 3ra o 4ta hoja. Se alarga a una raya amarillosa y el centro se torna marrón rojizo. Manchas con margen definido rodeado por un halo amarillo.,"Reduce la producción fotosintética, influyendo sobre el peso del racimo. Puede causar madurez prematura.","Hongo Micosphaerella musicola, ligeramente menos agresivo que la Sigatoka Negra.",Microbiológicos: Aplicar BACIFORM SC. Bioestimulación: Usar SUMAKCROP Elicitor. Foliar: Usar SUMAKCROP Cu Pentahidratado (controla enfermedades causadas por hongos).
Banano,Mal de Panamá (Fusarium) (F. oxysporum f. sp. cubense),"Clorosis en hojas más viejas, amarillamiento a lo largo de los márgenes y colapso del pecíolo. Decoloración marrón-rojizo en el sistema vascular de rizomas, cormos y pseudotallos. Estrías necróticas oscuras o azuladas en cormo.",Marchitez de la planta. Impide la normal alimentación. El patógeno puede sobrevivir más de 30 años.,Hongo Fusarium oxysporum f. sp. cubense. Penetra a través de las raíces terciarias.,"Enmiendas: Tratamiento con cal agrícola (ej. SUMAKCROP Calcio Plus) disminuye la población en suelos ácidos. Aplicar Silicio (SUMAKCROP DiatoMaxSoil) como agente antiestrés y promotor de lignina. Microbiológicos: Aplicar TrichoProb plus (elimina patógenos del suelo, estimula crecimiento)."
Banano,Pudrición Bacterial/Acuosa del Pseudotallo (Erwinia spp. / Dickeya chrysanthemi),"Exudado bacteriano nauseabundo en pseudotallo y yaguas externas. Pudrición suave y olor desagradable. Manchas acuosas/translúcidas, luego rojizas/castaño oscuro. Necrosis de la hoja candela.","Las plantas se doblan. Debilitamiento basal, con pérdida de la cosecha. Planta se pudre por capas hasta el centro.",Bacterias Erwinia spp. o Dickeya chrysanthemi. Asociada a plan de fertilización inadecuado (déficit de K y B).,Nutrición Foliar: Aplicar SUMAKCROP Cu Pentahidratado (25.00% Cu) para controlar enfermedades causadas por bacterias. Bioestimulación: Aplicar SUMAKCROP Elicitor (induce resistencia ante bacterias). Fertilización: Corregir deficiencias de K y B.
Banano,Moko o Madurabiche (Ralstonia solanacearum),"La primera, segunda y tercera hoja se tornan amarillas, se doblan a nivel del peciolo. Pudrición y decoloración de los tejidos internos del pseudotallo. Puntos de color marrón/negro en el cormo (haces vasculares afectados).","Marchitez de la planta, puede ocurrir pérdida total. Pérdida de la cosecha.","Bacteria Ralstonia solanacearum. Diseminada por semillas, hijos, herramientas, maquinaria, insectos (áfidos).","Nutrición Foliar: Aplicar SUMAKCROP Cu Pentahidratado para control de bacterias. Bioestimulación: Aplicar SUMAKCROP Elicitor. Enmiendas/Microbiológicos: Aplicar microorganismos eficientes al suelo (0,5 l/planta)."
Banano,Picudo Negro (Cosmopolites sordidus),"Daño al cormo. Debilidad general, amarillamiento, reducción en el crecimiento, tallos delgados. La planta puede volcarse fácilmente.","Destrucción del sistema radical. Afecta el crecimiento, tamaño y peso de los frutos. Las galerías son puerta de entrada para patógenos (Moko, Erwinia).",Insecto coleóptero Cosmopolites sordidus. La larva causa el daño al alimentarse dentro del rizoma.,"Microbiológicos: Aplicar BUGFORM PLUS SC (contiene Beauveria bassiana y Bacillus thuringiensis, degrada la cutícula del insecto). Enmiendas: SUMAKCROP DiatoMaxSoil (barrera física natural)."
Banano,"Nematodos (Radopholus similis, Pratylenchus coffeae, etc.)","Daño en el interior de la raíz, corteza de la raíz se desprende, pudrición. Clorosis/amarillamiento general de la planta, desraizamiento.","Pérdida de raíces, racimos de bajo peso. Pérdida del sistema de anclaje y nutrición. Factor predisponente para el Mal de Panamá (Fusarium).",Parásitos de la planta (Radopholus similis más frecuente).,Enmiendas: Aplicar Silicio con SUMAKCROP DiatoMaxSoil (73.85% Silicio) que actúa como barrera física natural al degradar el exoesqueleto de organismos dañinos. Microbiológicos: Aplicar TrichoProb plus (elimina patógenos del suelo y estimula crecimiento radical).
Banano,Picudo Rayado o Amarillo (Metamasius spp.),Galerías profundas y pudrición en el pseudotallo y el cormo. Hojas externas amarillas y mueren.,La planta se dobla al momento del llenado del racimo. Disemina la Bacteriosis (Dickeya chrysanthemi).,Larva del coleóptero Metamasius spp. La presencia se relaciona con desbalances o deficiencias nutricionales (Potasio y Boro).,Microbiológicos: Aplicar BUGFORM PLUS SC. Fertilización/Enmiendas: Corregir deficiencias de Boro y Potasio. Aplicar SUMAKCROP DiatoMaxSoil (barrera física).
Banano,Taladrador (Castniomera humboldti),"Galerías profundas en el pseudotallo y el cormo. La planta puede secarse (hoja ""candela"").","Destrucción de los tejidos conductores del pseudotallo. Afecta el crecimiento, tamaño y peso de los frutos.",Larva de lepidóptero que barreña rizoma y pseudotallo.,"Microbiológicos: Usar BUGFORM PLUS SC (control de plagas mediante contacto/ingestión, especialmente lepidópteros)."
Banano,Chinche Hedionda (Scaptocoris divergens),Lesiones en las raíces. Síntomas externos de amarillamiento en las hojas y retardo del desarrollo del racimo.,El sistema radical es reducido funcionalmente. Baja absorción de nutrientes y agua. Pérdida de anclaje.,Insecto hemíptero (Cydnidae) cuyas ninfas y adultos pican y succionan savia de las raíces e inyectan toxinas.,Microbiológicos: Aplicar BUGFORM PLUS SC.
Banano,Cochinillas Harinosas (Pseudococcus spp.),"Fumagina (hongo negro, Capnodium spp.) en frutos, coronas y pseudotallo. Manchas algodonosas, lesiones pequeñas y agrietamientos en frutos.",Rechazo de la fruta en mercados de exportación. Causa una costra negra adherida al fruto que no se puede remover. Vector potencial del Virus Estriado del Banano (BSV).,Insectos chupadores (Hemiptera: Pseudococcidae).,"Nutrición Foliar: Aplicar SUMAKCROP SANIFRUT (Producto natural efectivo para el control y prevención de plagas, especialmente cochinillas)."
Banano,"Escamas (Diaspis boisduvalii, Aspidiotus spp.)",Maduración desuniforme y presencia del insecto en frutos. Lesiones que causan una madurez desuniforme de los frutos.,"Las excretas del insecto forman fumagina, que afecta la fotosíntesis. Las lesiones afectan la calidad de la fruta.","Insectos chupadores (Hemiptera: Diaspididae). Las hembras se alimentan de la savia del pseudotallo, hojas o fruto.",Nutrición Foliar: Aplicar SUMAKCROP SANIFRUT.
Banano,Trips de la Mancha Roja (Chaetanaphothrips orchidii),Rayas rojizas en frutos. Daño severo puede cubrir la superficie de la fruta con coloración rojiza/negra y grietas superficiales.,Frutas afectadas no son mercadeables y la producción no califica para exportación.,"Trips (Chaetanaphothrips orchidii). Prefieren alimentarse en flores, follaje y frutas muy jóvenes.",Nutrición Foliar: Aplicar SUMAKCROP SANIFRUT.
Banano,Trips de la Flor (Frankliniella parvula),Punciones o picaduras al alimentarse en flores y frutos jóvenes. Pequeñas manchas marrones en forma de verrugas sobre la cáscara.,Reducción del valor comercial de las frutas.,Trips (Frankliniella parvula).,Nutrición Foliar: Aplicar SUMAKCROP SANIFRUT.
Banano,Áfido del Banano (Pulgón) (Pentalonia nigronervosa),Fumagina en las coronas y epidermis de los frutos. Lesiones producidas por succión y secreciones de ligamasa.,Mancha negra en frutos (no aptos para exportación). Vector de virus (BBTV y CMV).,Áfido chupador (Hemiptera: Aphididae). Su presencia favorece el desarrollo de la fumagina.,Bioestimulación: Aplicar SUMAKCROP Elicitor (induce resistencia ante virus y estrés). Nutrición Foliar: Aplicar SUMAKCROP SANIFRUT (efectivo contra pulgón).
Banano,Virus Estriado del Banano (BSV),"Rayado clorótico, amarillento continuo o interrumpido en bandas paralelas a las venas secundarias (síntomas leves). Agrietamiento y pudrición de la yagua en la base del cormo.",Reducción del crecimiento de plantas y del peso de los racimos. El virus incide en el tamaño del racimo.,Enfermedad viral transmitida por la quereza (Planococcus citri).,"Bioestimulación: Aplicar SUMAKCROP Elicitor (Ácido Salicílico, induce resistencia de las plantas ante patógenos como virus)."
Banano,Virus del Mosaico del Pepinillo (CMV),"Mosaico amarillo en las hojas, paralelo a las venas secundarias. Corrugamiento de las hojas y engrosamiento de las nervaduras secundarias.","Interfiere con el desarrollo de las raíces, mata las existentes, reduce el vigor de las plantas. Reducción en el rendimiento y bajo peso de los racimos.","Virus transmitido por áfidos (Aphis gossypii, Mysus persicae).",Bioestimulación: Aplicar SUMAKCROP Elicitor.
Banano,Desbalance de la Relación K/Mg,"Síntomas de deficiencia de Magnesio (clorosis central, moteado de pecíolos, coloración azulada).",Afecta el peso y el grosor de la fruta.,"Relación Potasio/Magnesio foliar fuera del rango óptimo (5 a 8). Carencia de Mg, la cual es común en suelos arenosos o muy arcillosos.",Nutrición Foliar: Aplicar SUMAKCROP Mg (9.00% MgO) para restablecer niveles de Mg. Enmiendas: Aplicar DUNCAMAG.
Banano,Baja Capacidad de Intercambio Catiónico (CIC),No presenta síntomas visuales directos en la planta (problema edáfico).,Baja retención de nutrientes. Bajo PSB (Porcentaje de Saturación de Bases).,Baja CIC del suelo (ej. 13.9 meq/100 g).,Enmiendas: Aplicar SUMAKCROP Soluble Granulated Humic Acid (60% Ácido Húmico) o SUMAKCROP MAX SOIL PLUS para aumentar la fertilidad y capacidad nutricional.
Banano,Profundidad del Suelo Restringida,"Raíces cortas, poco profundas y delgadas. Masa de raíces por debajo del nivel adecuado (> 400 a 500 g).",Baja exploración de raíces en el suelo para captar agua y nutrientes. Déficit de masa de raíces.,Capa física restrictiva o compactación.,"Enmiendas: Aplicar SUMAKCROP Root Soil (estimula el crecimiento radical, descompacta los suelos). Bioestimulación: Usar productos que promueven la elongación de la raíz (e.g., SUMAKCROP Energy Gold)."
Banano,Toxicidad de Cobre (Cu),"No se describen síntomas visuales de toxicidad en banano en las fuentes, pero sí niveles en exceso en el análisis de suelo (ej. 13.5 a 23.44 mg/kg).",Podría disminuir el crecimiento y la producción.,Exceso de Cobre (Cu) en el suelo.,Enmiendas: Aplicar SUMAKCROP DiatoMaxSoil (Silicio) para ayudar a neutralizar elementos tóxicos.
Banano,Dilución de Nutrientes (Estrés por Bajas Dosis),"Análisis foliares salen iguales o más altos que antes, pero el cultivo presenta ""merma en biomasa"". Planta raquítica.","Baja productividad y rendimientos. Los nutrientes se han concentrado, lo que enmascara una merma productiva real (Efecto Piper-Steenbjerg).",Reducción de la fertilización (ej. por alto precio de los fertilizantes) mientras la planta aumenta biomasa.,Fertilización/Bioestimulación: Aumentar la fertilización (N y K son los más importantes). Aplicar SUMAKCROP Nitrogen Plus 30 y SUMAKCROP K-45. Usar SUMAKCROP Amino Acid Powder 80% (Bioestimulante) para crecimiento y recuperación.
Banano,Mancha Foliar por Cordana (Cordana musae),Manchas color marrón con halo amarillento brillante a su alrededor. Las manchas tienen forma ovalada o de cuña con anillos concéntricos.,Llega a secar grandes porciones de la lámina foliar.,Hongo Cordana musae.,Microbiológicos: Aplicar BACIFORM SC. Nutrición Foliar: Aplicar SUMAKCROP Cu Pentahidratado (controla enfermedades causadas por hongos).
Banano,"Punta de Cigarro (Stachylidium sp., Fusarium sp., Deightoniella sp.)",Pudrición seca o negra de la punta o ápice de la fruta.,Los dedos o plátanos infectados tienden a madurar prematuramente.,"Hongos Stachylidium sp., Fusarium sp. y Deightoniella sp..",Nutrición Foliar: Aplicar SUMAKCROP Cu Pentahidratado. Prácticas Agrícolas: Fumigar la punta de los dedos con fungicida (como un benzimidazol) después del desflore.
